latitude,longitude,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,gemeindeteil_name,gemeindeteil_schluessel,strasse_name,strasse_schluessel,hausnummer,hausnummer_zusatz,postleitzahl,art,bezeichnung,barrierefrei,oeffnungszeiten,telefon_festnetz,telefon_mobil,email,website
54.0758832364916,12.1362589264459,0145c83a-5d66-11e7-8832-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Herweghstr.,"03570","30",,"18055",Restaurant,Werkküche Herweghstraße,"0",Mo-Fr 11:00-14:00,+49 381 2526865,,info@esko-catering.de,https://www.esko-catering.de/kantinen-rostock.html
54.0874705024239,12.143569719941,00166218-08ba-11e7-9fc7-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Große Wasserstr.,"03140","32",,"18055",Bar,English Pub,"0",,,,,
54.0951760333481,12.1544660009252,49481164-2b26-11e7-80fc-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Brinckmansdorf,"0020",Altkarlshof,"00280","6",,"18146",Restaurant,Blauer Esel - Bistro & Broiler,"1",Mo-Fr 11:30-15:00,+49 381 66919916,,hallo@blauer-esel-bistro.de,https://blauer-esel-bistro.de/
54.1783270142142,12.1028417069896,0059c6f0-6c76-11e7-91bc-0050569946ac,,,,,,,,,,,,,,Imbiss,Strandbar Hohe Düne,,,+49 381 50400,,info@yhd.de,https://www.hohe-duene.de/hotel-news/2011/strand-bar-im-ostsee-hotel.html
54.0884463322173,12.1436008266469,00e2d884-08ba-11e7-9fc9-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Grubenstr.,"03160","7",,"18055",Restaurant,Tamarinde Lounge,"0","Di-Fr 11:00-14:30,17:00-23:00; Sa,So 12:00-23:00",+49 381 21055633,,info@tamarinde-lounge.de,http://www.tamarinde-restaurant.de/
54.0850605765475,12.0998030253012,01284bba-24f5-11e7-b585-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Hansaviertel,"0014",Schillingallee,"09370","70",a,"18057",Restaurant,Cafeteria Schilling Lounge,,Mo-Fr 08:00-15:00,+49 381 4945388,,info@esko-catering.de,https://www.esko-catering.de/kantinen-rostock.html
54.088251163138,12.1394948324058,05c4a912-0014-11e7-93e9-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Neuer Markt,"07250","9",,"18055",Restaurant,Vapiano,"0",Mo-So 11:30-21:00,+49 381 37577932,,rostock@vapiano.de,https://www.vapiano-rostock.de/
54.1489869422759,12.0776687527058,dc292f64-54c9-11e7-88db-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Groß Klein,"0009",Gerüstbauerring,"02890","39",,"18109",Imbiss,Bella Italia,"0","Mo 17:00-22:00; Di-Fr 11:00-14:00,17:00-22:00; Sa,So,Feiertag 11:30-22:00",+49 381 1217230,,,https://www.bellaitalia-rostock.de/
54.1797575650952,12.0869494890074,01de467e-407d-11e7-aa86-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Seebad Warnemünde,"0001",Am Strom,"00540","101",,"18119",Restaurant,Mamma Mia,"0",Mo-So 11:00-23:00,+49 381 5192831,,,https://de-de.facebook.com/pages/Italienisches-Restaurant-und-Eiscafe-Mamma-Mia/145110388865756
54.1916919029663,12.1506862228508,08b395a2-0faf-11e7-b337-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Seebad Markgrafenheide,"0003",Warnemünder Str.,"09520","5",,"18146",Restaurant,Restaurant Hotel Godewind,"0",siehe Webseite,+49 381 609570,,reservierung@hotel-godewind.de,https://www.godewind-hotels.de/hotel-godewind/essen-trinken/
