Date of Auction,Auction List No.,Lot No.,Description,Quantity,Unit
9/7/2020,M-3/2020,M-147,"Mobile Phone, 5.3 Inch Display (Brand: Samsung, Model: Galaxy Note N7000) ",1,No.
9/7/2020,M-3/2020,M-147,"Digital Camera (Brand:  Nikon, Model: Coolpix P5100)",1,No.
9/7/2020,M-3/2020,M-147,"Keyboard (Brand: Compaq, Model: 5191)",1,No.
9/7/2020,M-3/2020,M-147,"Mouse (Brand: Compaq, Model: MOAFKOA)",1,No.
9/7/2020,M-3/2020,M-147,"Digital Video Camera (Brand: JVC, Model: GZ-MC100EK)",1,No.
9/7/2020,M-3/2020,M-147,"Mobile Phone (Brand: Nokia, Model: 6280) ",1,No.
9/7/2020,M-3/2020,M-147,"Mobile Phone (Brand: Nokia, Model: N73) ",1,No.
9/7/2020,M-3/2020,M-147,"Digital Camera (Brand: Nikon, Model: Coolpix P7100)",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: Samsung, Model: Galaxy Note 3 LTE N9005)",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: Samsung, Model: Galaxy S4 LTE) ",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: Samsung, Model: Galaxy S5)",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: Samsung, Model: I9400 Galaxy SII3G)",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: Samsung, Model: Note N7000)",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: Samsung, Model: Note 2LTE N7105) ",1,No
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: Samsung, Model: Galaxy S4 White)",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone, (Brand: Samsung, Model: S4 9505 BK)  ",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: Apple, Model: iPhone 7 256GB Black)",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: Apple, Model:  iPhone 4S 16GB White) ",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: Apple, Model: iPhone 6 16G)  ",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: HUAWEI, Model: Mates 9 Pro)  ",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: HUAWEI, Model: Mates)",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: Nokia, Model: 5310 MP)",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: Sony, Model: Xperia Go ST27i)",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: LG, Model: Optimus G E975WH)",1,No.
9/7/2020,M-3/2020,M-148,"Mobile Phone (Brand: HTC, Model: Desire S)",1,No.
9/7/2020,M-3/2020,M-148,"Shredder (Brand: Hollies, Model: MC-39)",1,No.
9/7/2020,M-3/2020,M-148,"Laminator (Brand: Monolith, Model: A4 OL-250)",1,No.
9/7/2020,M-3/2020,M-148,Drinking Machine (Brand: Cool),1,No.
9/7/2020,M-3/2020,M-148,"Digital Video Recorder, 4CH c/w 2 Camera Shots",1,Set
9/7/2020,M-3/2020,M-148,"Digital Video Handycam (Brand: Sony, Model: HDR-CX130E/S CMR)  ",1,No.
9/7/2020,M-3/2020,M-148,"Digital Camera (Brand: Olympus, Model: Tough-6020) ",1,No.
9/7/2020,M-3/2020,M-148,"Digital Camera (Brand: Olympus, Model: XZ1 White) ",1,No.
9/7/2020,M-3/2020,M-148,"Digital Camera c/w 1 Camera Shot (Brand: Nikon, Model: 1J1DZGBK)",1,Set
9/7/2020,M-3/2020,M-149,"Strip-cut Shredder (Brand: Kobra, Model: 260 S2 ES)",1,No.
9/7/2020,M-3/2020,M-149, Air Cleaner (Brand: Whirlpool),2,Nos.
9/7/2020,M-3/2020,M-149,"Cooler (Brand:Turbo, Model: TCL-191)",1,No.
9/7/2020,M-3/2020,M-150,HP LaserJet P2055 CE505X ,42,Nos.
9/7/2020,M-3/2020,M-150,HP LaserJet P2055 Q7553X,14,Nos.
9/7/2020,M-3/2020,M-150,HP LaserJet M401 CF280X,6,Nos.
9/7/2020,M-3/2020,M-150,Kyocera FS-4100DN TK-3114,3,Nos.
9/7/2020,M-3/2020,M-150,Lexmark E360dn E360H11P,2,Nos.
9/7/2020,M-3/2020,M-150,Fuji Xerox DocuPrint M355df CT201937,1,No.
9/7/2020,M-3/2020,M-150,Fuji Xerox DocuPrint M355df CT201938,1,No.
9/7/2020,M-3/2020,M-150,Fuji Xerox WorkCentre 3210 CWAA0776,1,No.
9/7/2020,M-3/2020,M-150,Fuji Xerox DocuPrint C5005d CT201664 (Black),3,Nos.
9/7/2020,M-3/2020,M-150,Fuji Xerox Toner DocuPrint C5005d CT201665 (Cyan) ,2,Nos.
9/7/2020,M-3/2020,M-150,Fuji Xerox DocuPrint C5005d CT201666 (Magenta),2,Nos.
9/7/2020,M-3/2020,M-150,Fuji Xerox DocuPrint C5005d CT201667 (Yellow),3,Nos.
9/7/2020,M-3/2020,M-150,EPSON Aculaser C3800 S051124 (Yellow),2,Nos.
9/7/2020,M-3/2020,M-150,Panasonic Fax UF7300 UG5575,18,Nos.
9/7/2020,M-3/2020,M-151,"Industrial Wet /Dry Vacuum Cleaner (Brand : Minuteman, Model 290-15)",1,No.
9/7/2020,M-3/2020,M-151,"Fax Machine (Brand: Panafax, Model: UF-890)",2,Nos.
9/7/2020,M-3/2020,M-152,"Facsimile Machine (Brand: Panafax, Model: UF890)",1,No.
9/7/2020,M-3/2020,M-152,Range Mist Fan -MC20CHN,1,No.
9/7/2020,M-3/2020,M-153,Fuji Xerox WorkCentre 3220 CWAA0776,1,No.
9/7/2020,M-3/2020,M-153, HP LaserJet M602DN CE 390A,3,Nos.
9/7/2020,M-3/2020,M-153,HP LaserJet P1505 CB436AD,2,Nos.
9/7/2020,M-3/2020,M-153,Panasonic Fax Machines UF7300 UG5575,12,Nos.
9/7/2020,M-3/2020,M-153,Lexmark T654dn T654X11P ,1,No.
9/7/2020,M-3/2020,M-153,Fuji Xerox P355db CT201937,73,Nos.
9/7/2020,M-3/2020,M-153,Epson Aculaser C3800DN C13S051127,4,Nos.
9/7/2020,M-3/2020,M-153,Epson Aculaser C3800DN C13S051130,1,No.
9/7/2020,M-3/2020,M-153,Kyocera FS4100DN TK3114,3,Nos.
9/7/2020,M-3/2020,M-153,Fuji Xerox Docu Print P340A CT350269,1,No.
9/7/2020,M-3/2020,M-153,Fuji Xerox Docu Print P355db CT350973,11,Nos.
9/7/2020,M-3/2020,M-154,Fuji Xerox P355BD Maintenance Kit (Used),9,Nos.
9/7/2020,M-3/2020,M-154,Fuji Xerox P355BD Drum Cartridge (Used),3,Nos.
9/7/2020,M-3/2020,M-154,Fuji Xerox P355BD Toner,12,Nos.
9/7/2020,M-3/2020,M-154,Panasonic UG5575 Fax Toner,1,No.
9/7/2020,M-3/2020,M-155,"Plain Paper Panaboard (Brand: Panasonic, Model: KX-BP635)",1,No.
9/7/2020,M-3/2020,M-155,"Duplex Plain Paper Copier (Brand: Panasonic, Model: DP-8020E) (Over 40 Kg.)",1,No.
9/7/2020,M-3/2020,M-156,"Lifebook (Brand: Fujituse, Model: S-6240)",1,No.
9/7/2020,M-3/2020,M-156,"Lifebook (Brand: Fujituse, Model: S-7020)",1,No.
9/7/2020,M-3/2020,M-157,HP1200,1,No.
9/7/2020,M-3/2020,M-157,Fuji Xerox P335d,36,Nos.
9/7/2020,M-3/2020,M-157,Fuji Xerox P335d (Kit),14,Nos.
9/7/2020,M-3/2020,M-157,Fuji Xerox P335d (Drum),7,Nos.
9/7/2020,M-3/2020,M-157,Panasonic UG-3313,6,Nos.
9/7/2020,M-3/2020,M-157,Panasonic UG-5575,2,Nos.
9/7/2020,M-3/2020,M-157,Kyocera TK6309,2,Nos.
9/7/2020,M-3/2020,M-157,Epson C3800-1127,2,Nos.
9/7/2020,M-3/2020,M-157,Epson C3800-1128,1,No.
9/7/2020,M-3/2020,M-157,Epson C3800-1129,1,No.
9/7/2020,M-3/2020,M-158,Panasonic UG-5575,10,No.
9/7/2020,M-3/2020,M-158,Fuji Xerox P355DB,66,Nos.
9/7/2020,M-3/2020,M-158,Kyocera FS-4100DN,3,Nos.
9/7/2020,M-3/2020,M-158,Epson Aculaser C3800,5,Nos.
9/7/2020,M-3/2020,M-158,HP 401d,3,Nos.
9/7/2020,M-3/2020,M-159,Fuji Xerox 201938(P335db),30,Nos.
9/7/2020,M-3/2020,M-159,Panasonic UG5575,3,Nos.
9/7/2020,M-3/2020,M-159,EPSON C3800 Black 1127,1,No.
9/7/2020,M-3/2020,M-160,"Notebook (Brand: HP, Model: Elitebook 2540P)",1,No.
9/7/2020,M-3/2020,M-161,Fuji Xerox P355db CT201937,79,Nos.
9/7/2020,M-3/2020,M-161,HP Laserjet 1100 C4092A,1,No.
9/7/2020,M-3/2020,M-161,HP Laserjet P2055d CE505A,2,Nos.
9/7/2020,M-3/2020,M-161,Kyocera Network FS-4100DN TK3114,2,Nos.
9/7/2020,M-3/2020,M-161,Epson C3800DN CN675K36932 (1126C),1,No.
9/7/2020,M-3/2020,M-161,Epson C3800DN CN675K36902 (1127K),1,No.
9/7/2020,M-3/2020,M-161,Lexmark T654dn T654X11P,2,Nos.
9/7/2020,M-3/2020,M-161,Lexmark MS811dn 523HE,2,Nos.
9/7/2020,M-3/2020,M-161,Panasonic Facsimile UF-885 UG3313,9,Nos.
9/7/2020,M-3/2020,M-162,Fuji Xerox DocuPrint P355db,79,Nos.
9/7/2020,M-3/2020,M-162,Fuji Xerox Drum Cartridge P355 db,7,Nos.
9/7/2020,M-3/2020,M-162,Fuji Xerox Maintenance Kit P355 db,15,Nos.
9/7/2020,M-3/2020,M-162,Xerox Work Cenre 3220,1,No.
9/7/2020,M-3/2020,M-162,Lexmark 523HE,1,No.
9/7/2020,M-3/2020,M-163,"Electric Punch (Brand: UCHIDA, Model: VS-10)",1,No
9/7/2020,M-3/2020,M-164,Refrigerator Steel Door (Band: COOLMATE) Size: 700Wx750Dx2000Hmm (Volume: over 500L),1,No.
9/7/2020,M-3/2020,M-164,"Paper Shredder (Brand: HSM, Model No: 1252)",1,No.
9/7/2020,M-3/2020,M-165,"Projector (Brand: Panasonic, Model: PTLB60NT) (Dismantled) ",1,No.
9/7/2020,M-3/2020,M-165,"Four Channel Receiver (Brand: Eurosound, Model: US-9902)",1,No.
9/7/2020,M-3/2020,M-166,Lexmark CT350269,2,Nos.
9/7/2020,M-3/2020,M-166,Panasonic UG5575,14,Nos.
9/7/2020,M-3/2020,M-166,Fuji CP355,85,Nos.
9/7/2020,M-3/2020,M-167,"Printer (Brand: HP, Model: LaserJet-2100)",1,No.
9/7/2020,M-3/2020,M-167,"Printer (Brand: Epson, Model: EOL-5800L)",1,No.
9/7/2020,M-3/2020,M-167,"Printer (Brand: HP, Model: LaserJet-6L)",1,No.
9/7/2020,M-3/2020,M-168,"Scanner (Brand:Kodak, Model: il420)",1,No.
9/7/2020,M-3/2020,M-169,"Digital Camera (Brand: Canon, Model: PowerShot S90)",2,Nos.
9/7/2020,M-3/2020,M-169,"Digital Camera (Brand: Canon, Model: PowerShot S95)",2,Nos.
9/7/2020,M-3/2020,M-169,"Digital Camera (Brand: Sony, Model: Nex-5N)",1,No.
9/7/2020,M-3/2020,M-169,"Digital Camera (Brand: Panasonic, Model: LX-5)",1,No.
9/7/2020,M-3/2020,M-169,"Flash (Brand: Panasonic, Model: DMW-FL220)",1,No.
9/7/2020,M-3/2020,M-169,"Flash (Brand: Sony, Model: HVL F20S)",1,No.
9/7/2020,M-3/2020,M-170,Hub (Brand: CISCO),1,No.
9/7/2020,M-3/2020,M-170,Speaker (Brand: SAMSUNG),8,Nos.
9/7/2020,M-3/2020,M-170,Multimedia Speaker System (Brand: SAMSUNG) ,2,Nos.
9/7/2020,M-3/2020,M-170,Tape Drive - EAS (Model: SDT-D9000 ),3,Nos.
9/7/2020,M-3/2020,M-170,Pointer,7,Nos.
9/7/2020,M-3/2020,M-170,"Smart Fan, NMB ",7,Nos.
9/7/2020,M-3/2020,M-170,VGA Distribution Amplifier & Network Switch,7,Nos.
9/7/2020,M-3/2020,M-170,"Projector, Ship SIM (Dismantled)  ",7,Nos.
9/7/2020,M-3/2020,M-170,Intercom Simulator (Brand: SINDEL),5,Nos.
9/7/2020,M-3/2020,M-171,Video Cassette Recorder (Brand: National Model: NV-G12BD),1,No.
9/7/2020,M-3/2020,M-171,Kettle Electric ,1,No.
9/7/2020,M-3/2020,M-171,Paper Shredder (Brand: HSM),1,No.
9/7/2020,M-3/2020,M-171,Pencil Sharpener (Brand: Mitsubishi),2,Nos.
9/7/2020,M-3/2020,M-171,Pump (Model: PT-352),1,No.
9/7/2020,M-3/2020,M-171,Lamp (Model: UVPT-1660),1,No.
9/7/2020,M-3/2020,M-171,Music Stand,9,Nos.
9/7/2020,M-3/2020,M-171,Camera Super Mini Zoom (Brand: Fuji),1,No.
9/7/2020,M-3/2020,M-171,Camera Digital (Brand: Olympus Model: C-730),1,No.
9/7/2020,M-3/2020,M-171,DVD/VCD Mini HIFI (Brand: Aiwa Model: XR-DV826),1,No.
9/7/2020,M-3/2020,M-171,Video Converter (Brand: SNAzzi Model: C0201-070R),1,No.
9/7/2020,M-3/2020,M-171,Handle Platform Trolley Foldable,6,Nos.
9/7/2020,M-3/2020,M-171,Laminating Machine,1,No.
9/7/2020,M-3/2020,M-171,Paper Shredder,5,Nos.
9/7/2020,M-3/2020,M-172,"Fax Machine (Brand: Panasonic, Model: Panafax UF-885)",1,No.
9/7/2020,M-3/2020,M-172,Wall Mount Server Cabinet without Door (Dismantled),1,No.
9/7/2020,M-3/2020,M-172,Timer,30,Nos.
9/7/2020,M-3/2020,M-173,"Camera (Brand: Nikon, Model: Coolpix 4300)",1,No.
9/7/2020,M-3/2020,M-173,"Camera (Brand: Panasonic, Model: DMC-FZ18)",1,No.
9/7/2020,M-3/2020,M-173,"Camera (Brand: Panasonic, Model: DMC-ZS3)",1,No.
9/7/2020,M-3/2020,M-173,"Camera (Brand: Panasonic, Model: SDR-H250)",1,No.
9/7/2020,M-3/2020,M-173,"Tape Drive (Brand: HP, Model: SureStore DAT 24*6 DDS)",2,Nos.
9/7/2020,M-3/2020,M-173,"Projector (Brand: Epson, Model: EMP822) (Dismantled) ",1,No.
9/7/2020,M-3/2020,M-173,"Projector (Brand: NEC, Model: ME270X) (Dismantled) ",1,No.
9/7/2020,M-3/2020,M-173,"Projector (Brand: Panasonic, Model: PT-D5600E) (Dismantled) ",1,No.
9/7/2020,M-3/2020,M-173,"Projector (Brand: Toshiba, Model: TDP-SP1) (Dismantled) ",1,No.
9/7/2020,M-3/2020,M-173,"Projector (Brand: Toshiba, Model: TLP781) (Dismantled) ",2,Nos.
9/7/2020,M-3/2020,M-173,"Visualizer (Brand: Hitec, Model: PH-965) (Dismantled) ",1,No.
9/7/2020,M-3/2020,M-173,"Visualizer (Brand: Lumens, Model: DC133) (Dismantled) ",5,Nos.
9/7/2020,M-3/2020,M-173,"Visualizer (Brand: Lumens, Model: DC158) (Dismantled) ",1,No.
9/7/2020,M-3/2020,M-173,"Visualizer (Brand: Lumens, Model: DC80A) (Dismantled) ",2,Nos.
9/7/2020,M-3/2020,M-173,"Visualizer (Brand: Lumens, Model: PS400) (Dismantled) ",2,Nos.
9/7/2020,M-3/2020,M-173,"Visualizer (Brand: ProVision, Model: PVT-413D+) (Dismantled) ",1,No.
9/7/2020,M-3/2020,M-174,Refrigerator (Brand: Philco),1,No.
9/7/2020,M-3/2020,M-175,"17"" LCD Monitor (Flat-panel Display) (Brand: Dell)",1,No.
9/7/2020,M-3/2020,M-176,"Case for 3/4 to Full Size Double Bass, Fibreglass",11,Nos.
9/7/2020,M-3/2020,M-176,Case for Cello 4/4,5,Nos.
9/7/2020,M-3/2020,M-176,Case for Cello with Handle & Bow Receptacles,1,No.
9/7/2020,M-3/2020,M-176,Standard Carrying Hard Case with Locks for 4/4 Cello,1,No.
9/7/2020,M-3/2020,M-177,"Refrigerator (Brand: Venus, Model: VG301c)",1,No.
9/7/2020,M-3/2020,M-178,"Projector LCD (Brand: Mitsubishi, Model: Xd510u)  (Dismantled)",1,No.
9/7/2020,M-3/2020,M-179,"Panaboard (Brand: Panasonic, Model: KX-B530)",1,No.
9/7/2020,M-3/2020,M-180,Resusci Anne Full Body Basic (Aha) with Hard Case (Dummy for Peactice Exercise),1,Set
9/7/2020,M-3/2020,M-180,"Kit, Hard Articulated Arms/ Legs Kit for Resusci Anne, Trauma/ First Aid",1,No.
9/7/2020,M-3/2020,M-181,Image Drum Cyan CB385A,1,No.
9/7/2020,M-3/2020,M-181,Image Drum Yellow CB386A,1,No.
9/7/2020,M-3/2020,M-181,Image Drum Magenta CB387A,1,No.
9/7/2020,M-3/2020,M-181,Image Fuser Kit CB458A,1,No.
9/7/2020,M-3/2020,M-181,Image Transfer Kit CB463A,1,No.
9/7/2020,M-3/2020,M-181,Image Roller Kit CB459A,2,Nos.
9/7/2020,M-3/2020,M-182,"Walkie Talkie, Talkabout (Brand: MOTOROLA, Model: T5628)",4,Nos.
9/7/2020,M-3/2020,M-182,Media Visualizer (Dismantled),1,No.
9/7/2020,M-3/2020,M-182,"Fax Machine (Brand: Panasonic, Model: Panafax UF 5600)",2,Nos.
9/7/2020,M-3/2020,M-182,"Label Printer, Leitz Icon ",15,Nos.
9/7/2020,M-3/2020,M-182,Stainless Steel Drop-in Box - Size: 34.5 cm(L) x 34.8 cm(W) x 47 cm(H),1,No.
9/7/2020,M-3/2020,M-182,Key Box - Size: 32 cm(L) x 39.7 cm(W) x 39.5 cm(H)  (Dismantled) ,1,No.
9/7/2020,M-3/2020,M-182,Electronic Whiteboard (Brand: Panasonic)  (Dismantled) ,1,No.
9/7/2020,M-3/2020,M-182,"Mobile Phone (Brand: LENOVO, Model: A6000) ",17,Nos.
9/7/2020,M-3/2020,M-182,LCD Arm Wall and Desk Top Mount Foldable Arm,1,No.
9/7/2020,M-3/2020,M-183,External CD-RW (Brand: HP),1,No.
9/7/2020,M-3/2020,M-183,USB Rewriteable CD-ROM Drive ,1,No.
9/7/2020,M-3/2020,M-183,"Facsimile Machine (Brand: Panafax, Model: UF585)",1,No.
9/7/2020,M-3/2020,M-184,Transmission Jack 1500kg (Brand: YASUI),1,No.
9/7/2020,M-3/2020,M-184,Axle Stand 1.5 Ton (Brand: Nike),5,Nos.
9/7/2020,M-3/2020,M-184,Axle Stand 3 Ton (Brand: Nike),7,Nos.
9/7/2020,M-3/2020,M-184,Axle Stand 6 Ton (Brand: Nike),2,Nos.
9/7/2020,M-3/2020,M-184,Companion Hose Reel (Brand: PCL),1,No.
9/7/2020,M-3/2020,M-184,Battery & Alternator Tester (Brand: Trenfast),3,Nos.
9/7/2020,M-3/2020,M-184,Gas Analyser (Brand: Protect Model: FLUX 2000-4),1,No.
9/7/2020,M-3/2020,M-184,Waste Oil Trolley ,1,No.
9/7/2020,M-3/2020,M-184,Office Chair ,4,Nos.
9/7/2020,M-3/2020,M-184,Water Dispenser ,1,No.
9/7/2020,M-3/2020,M-184,Grease Pump (Brand: OMPI),1,No.
9/7/2020,M-3/2020,M-184,"1/2"" Air Impact Wrench (Brand: Wurth)",3,Nos.
9/7/2020,M-3/2020,M-184,Fan Mist,2,Nos.
9/7/2020,M-3/2020,M-184,Click-Type Torque Wrench ,2,Nos.
9/7/2020,M-3/2020,M-184,2.25 Ton Jack (Brand: YASUI),1,No.
9/7/2020,M-3/2020,M-184,Roll Lamp (Brand: Mavel),2,Nos.
9/7/2020,M-3/2020,M-184,Transmission Jack (Brand: Eagle),1,No.
9/7/2020,M-3/2020,M-184,Wheel Jack (Brand:Ravaglioli),1,No.
9/7/2020,M-3/2020,M-184,Impact Wrench TG-1925,1,No.
9/7/2020,M-3/2020,M-184,"1/2"" Click-Type Torque Wrench",1,No.
9/7/2020,M-3/2020,M-184,Tools Cabinet ( Brand:Sandvik),1,No.
9/7/2020,M-3/2020,M-185,HP CB384A (Black) Drum,5,Nos.
9/7/2020,M-3/2020,M-185,HP CB385A (Cyan) Drum,2,Nos.
9/7/2020,M-3/2020,M-185,HP CB386A (Yellow) Drum,3,Nos.
9/7/2020,M-3/2020,M-185,HP CB387A (Magneta) Drum,3,Nos.
9/7/2020,M-3/2020,M-185,HP CB458A Image Fuser Kit,1,No.
9/7/2020,M-3/2020,M-185,HP CB459A Image Roller Kit,2,Nos.
9/7/2020,M-3/2020,M-185,HP CB463A Image Transfer Kit,1,No.
9/7/2020,M-3/2020,M-185,Kyocera WT-860 Waste Toner Bottle,10,Nos.
9/7/2020,M-3/2020,M-185,HP CB380A (Black),4,Nos.
9/7/2020,M-3/2020,M-185,HP CB381A (Cyan),1,No.
9/7/2020,M-3/2020,M-185,HP CB382A (Yellow),2,Nos.
9/7/2020,M-3/2020,M-185,HP CB383A (Magneta),1,No.
9/7/2020,M-3/2020,M-185,HP CF280A,3,Nos.
9/7/2020,M-3/2020,M-185,Kyocera TK-8509 (Black),1,No.
9/7/2020,M-3/2020,M-185,Kyocera TK-8509 (Magneta),1,No.
9/7/2020,M-3/2020,M-185,Kyocera TK-8510 (Black),1,No.
9/7/2020,M-3/2020,M-185,Kyocera TK-8604C (Cyan),3,Nos.
9/7/2020,M-3/2020,M-185,Kyocera TK-8604K (Black),4,Nos.
9/7/2020,M-3/2020,M-185,Kyocera TK-8604M (Magneta),3,Nos.
9/7/2020,M-3/2020,M-185,Kyocera TK-8604Y (Yellow),2,Nos.
9/7/2020,M-3/2020,M-185,HP Q5949A (Black),8,Nos.
9/7/2020,M-3/2020,M-185,HP Q7553XC (Black),6,Nos.
9/7/2020,M-3/2020,M-185,HP CC530A (Black),1,No.
9/7/2020,M-3/2020,M-185,HP CC531A (Cyan),2,Nos.
9/7/2020,M-3/2020,M-185,HP CC532A (Magenta),2,Nos.
9/7/2020,M-3/2020,M-185,HP CC533A (Yellow),2,Nos.
9/7/2020,M-3/2020,M-186,"Television (Type: Cathode-ray Tube) (Brand: Sharp, Model : VT-2198M)",1,No.
9/7/2020,M-3/2020,M-187,Glass Reinforced Plastic Boat [MP9] with One Lot of Inventory Items on Board (i.e. Items 2-11) Dimensions of Boat (Approximate): 6.80 m x 2.30 m,1,No.
9/7/2020,M-3/2020,M-187,Pilot Seat ,2,Nos.
9/7/2020,M-3/2020,M-187,Compass,1,No.
9/7/2020,M-3/2020,M-187,Electric Air Horn ,1,No.
9/7/2020,M-3/2020,M-187,90 HP Outboard Engine,2,Nos.
9/7/2020,M-3/2020,M-187,Steering Console,1,No.
9/7/2020,M-3/2020,M-187,Loudhailer System,1,No.
9/7/2020,M-3/2020,M-187,Life Buoy,1,No.
9/7/2020,M-3/2020,M-187,Life Jacket,5,Nos.
9/7/2020,M-3/2020,M-187,Canvas Cover,1,No.
9/7/2020,M-3/2020,M-187,Bilge Pump,2,Nos.
9/7/2020,M-3/2020,M-187,Navigation ,4,Nos.
9/7/2020,M-3/2020,M-188,Rigid Hull Rubber Inflatable Boat [LCSD(WS) IB06] Dimensions of Boat (Approximate): 3.40 m x 1.71 m with one Outboard Engine on Board (i.e. Item 2),1,No.
9/7/2020,M-3/2020,M-188,Outboard Engine 15 HP,1,No.
9/7/2020,M-3/2020,M-188,Rigid Hull Rubber Inflatable Boat [LCSD(WS) IB17] Dimensions of Boat (Approximate): 3.40 m x 1.71 m with one Outboard Engine on Board (i.e. Item 4),1,No.
9/7/2020,M-3/2020,M-188,Outboard Engine 15 HP,1,No.
9/7/2020,M-3/2020,M-189,GRP Canoe Dimensions of Boat (Approximate): 4.0 m x 0.6 m,5,Nos.
9/7/2020,M-3/2020,MS-301,"Time Clock Machine (Brand: Nippo, Model: TimeBoy 7)",1,No.
9/7/2020,M-3/2020,MS-301,"Film Camera (Brand: Olympus, Model: UIII WIDE 100)  ",1,No.
9/7/2020,M-3/2020,MS-301,"Camera Lens for Digital Camera Nikon 5700, Telephoto Lens & Marco Lens (Brand: Nikon, Model: UR-E20 RING)",1,Set
9/7/2020,M-3/2020,MS-301,"LCD Projector, EPSON EB-1725",1,No.
9/7/2020,M-3/2020,MS-301,"Loudspeakers, Digital Audio",1,Set
9/7/2020,M-3/2020,MS-301,CCTV Infrared Camera Lens,1,Set
9/7/2020,M-3/2020,MS-301,Loudhailer (Model: ERV68),1,No.
9/7/2020,M-3/2020,MS-301,"Fax Machine (Brand: SHARP, Model: FO-71)",1,No.
9/7/2020,M-3/2020,MS-301,"Digital Camera (Brand: NIKON, Model: S6150-S-1)",1,No.
9/7/2020,M-3/2020,MS-301,"Digital Camera (Brand: Nikon, Model: P330)",1,No.
9/7/2020,M-3/2020,MS-301,"Digital Camera (Brand:  Canon, Model: PS S100)",1,No.
9/7/2020,M-3/2020,MS-301,"MP3 Player (Brand: SAMSUNG, Model: YP-T6Z)",1,No.
9/7/2020,M-3/2020,MS-301,"Mobile Phone (Brand: Nokia, Model: 5800)",1,No.
9/7/2020,M-3/2020,MS-301,"Tripod Screen (Brand: VEGA, Model: CP70X70MW)",1,No.
9/7/2020,M-3/2020,MS-301,"Cabinet, Sliding Door (wooden)",1,No.
9/7/2020,M-3/2020,MS-301,Filing Cabinet (wooden),1,No.
9/7/2020,M-3/2020,MS-301,White Board with Movable Stand,1,No.
9/7/2020,M-3/2020,MS-302,"Multi-functional Printer
(Brand: Konica Minolta, Model: C360
Approx. size: 860(W) x 710(D) x 1160(H) (mm), Weight: 216 lbs, with degaussed Hard Disk)",1,No.
9/7/2020,M-3/2020,MS-303,"Multistorey Computer Table
(Approx. size: 670(W) x 670(D) x 1315(H) (mm))",1,No.
9/7/2020,M-3/2020,MS-303,"Chair Office with Arm, High Back",1,No.
9/7/2020,M-3/2020,MS-303,"Machine Paper Shredding
(Brand: Ideal, Model: Unknown)
(Approx. size: 375(W) x 225(D) x 580(H) (mm))",1,No.
9/7/2020,M-3/2020,MS-303,"Toner Cartridge
(Brand: HP, Model: Q1338A)",2,Nos.
9/7/2020,M-3/2020,MS-304,"Drum Kit 
(Brand: Brother, Model: DR3355)",3,Nos.
9/7/2020,M-3/2020,MS-304,"Print Cartridge 
(Brand: Ricoh, Model: SP 3400HS)",2,Nos.
9/7/2020,M-3/2020,MS-305,HP Toner Cartridge Q6511X,2,Nos.
9/7/2020,M-3/2020,MS-306,"Small Table (Square), 55cm(L)x55cm(W)x45cm(H)",2,Nos.
9/7/2020,M-3/2020,MS-306,"Floor Lamp, Height: 179.5cm",3,Nos.
9/7/2020,M-3/2020,MS-306,High Stool Chair (Height Adjustable),3,Nos.
9/7/2020,M-3/2020,MS-306,Safe with Stand (GSD 432),1,No.
9/7/2020,M-3/2020,MS-306,"Cool Air Professional Inflator, Electric Ball Pump",1,No.
9/7/2020,M-3/2020,MS-306,"Air Purifier, (Brand: Panasonic, Model: F-P06SXY-P)",5,Nos.
9/7/2020,M-3/2020,MS-306,"Air Purifier (Brand: Sharp, Model: FU-888SV)",1,No.
9/7/2020,M-3/2020,MS-307,"Rear & Side Support Table, Size: 93.5cm x 58cm x 76cm",1,No.
9/7/2020,M-3/2020,MS-308,Clip Panel System (CLIP Display Panel),1,Set
9/7/2020,M-3/2020,MS-309,Internal Distributor Seals (Part No: E90 D1&200),9,Nos.
9/7/2020,M-3/2020,MS-309,Internal Distributor Seals (Part No: E90 D1&300),39,Nos.
9/7/2020,M-3/2020,MS-309,"Dies (Size: 0.375"")",1,Set
9/7/2020,M-3/2020,MS-309,"Dies (Size: 0.875"")",2,Sets
9/7/2020,M-3/2020,MS-309,"Dies (Size: 1"")",3,Sets
9/7/2020,M-3/2020,MS-309,"Dies (Size: 0.625"")",2,Sets
